Rendering img with focal point Complex { re: -0.15791999999999157, im: -1.038959999999998 } [x_range: (-1, 1), y_range: (-1.01, 0.99)]
[Complex { re: 0.26, im: -1.01 }] iterations: 6 | acc: 57218.36811401156 | ?: false
[Complex { re: 0.28, im: -1.01 }] iterations: 6 | acc: 100736.26517653484 | ?: false
[Complex { re: 0.30000000000000004, im: -1.01 }] iterations: 5 | acc: 130.4512849321402 | ?: false
[Complex { re: 0.32000000000000006, im: -1.01 }] iterations: 5 | acc: 258.99615223141143 | ?: false
[Complex { re: 0.3400000000000001, im: -1.01 }] iterations: 5 | acc: 416.86431123622805 | ?: false
[Complex { re: 0.3600000000000001, im: -1.01 }] iterations: 5 | acc: 579.5091962243607 | ?: false
[Complex { re: 0.3799999999999999, im: -1.01 }] iterations: 5 | acc: 704.3825738241684 | ?: false
[Complex { re: 0.3999999999999999, im: -1.01 }] iterations: 5 | acc: 716.5654742096194 | ?: false
[Complex { re: 0.41999999999999993, im: -1.01 }] iterations: 5 | acc: 515.1125799674664 | ?: false
[Complex { re: 0.43999999999999995, im: -1.01 }] iterations: 6 | acc: 18187941.083608672 | ?: false
[Complex { re: 0.45999999999999996, im: -1.01 }] iterations: 5 | acc: 1071.1566001986653 | ?: false
[Complex { re: 0.48, im: -1.01 }] iterations: 5 | acc: 2667.266881716344 | ?: false
[Complex { re: 0.5, im: -1.01 }] iterations: 5 | acc: 4889.763496511707 | ?: false
[Complex { re: 0.52, im: -1.01 }] iterations: 5 | acc: 7656.665902303306 | ?: false
[Complex { re: 0.54, im: -1.01 }] iterations: 5 | acc: 10673.698646609962 | ?: false
[Complex { re: 0.56, im: -1.01 }] iterations: 5 | acc: 13333.445578222416 | ?: false
[Complex { re: 0.5800000000000001, im: -1.01 }] iterations: 5 | acc: 14605.650653706034 | ?: false
[Complex { re: 0.6000000000000001, im: -1.01 }] iterations: 5 | acc: 12934.115275181186 | ?: false
[Complex { re: 0.6200000000000001, im: -1.01 }] iterations: 5 | acc: 6165.170110060082 | ?: false
[Complex { re: 0.6399999999999999, im: -1.01 }] iterations: 5 | acc: 8600.086329600605 | ?: false
[Complex { re: 0.6599999999999999, im: -1.01 }] iterations: 5 | acc: 34308.69171467769 | ?: false
[Complex { re: 0.6799999999999999, im: -1.01 }] iterations: 5 | acc: 74527.32154559898 | ?: false
[Complex { re: 0.7, im: -1.01 }] iterations: 5 | acc: 132306.91143267468 | ?: false
[Complex { re: 0.72, im: -1.01 }] iterations: 5 | acc: 209410.85825237382 | ?: false
[Complex { re: 0.74, im: -1.01 }] iterations: 5 | acc: 304953.827114422 | ?: false
[Complex { re: 0.76, im: -1.01 }] iterations: 5 | acc: 413562.53778831393 | ?: false
[Complex { re: 0.78, im: -1.01 }] iterations: 5 | acc: 522665.5049644352 | ?: false
[Complex { re: 0.8, im: -1.01 }] iterations: 4 | acc: 196.60725325862606 | ?: false
[Complex { re: 0.8200000000000001, im: -1.01 }] iterations: 4 | acc: 294.3141510033191 | ?: false
[Complex { re: 0.8400000000000001, im: -1.01 }] iterations: 4 | acc: 414.137064366373 | ?: false
[Complex { re: 0.8600000000000001, im: -1.01 }] iterations: 4 | acc: 558.7456183346219 | ?: false
[Complex { re: 0.8799999999999999, im: -1.01 }] iterations: 4 | acc: 730.806832728453 | ?: false
[Complex { re: 0.8999999999999999, im: -1.01 }] iterations: 4 | acc: 932.9132152522366 | ?: false
[Complex { re: 0.9199999999999999, im: -1.01 }] iterations: 4 | acc: 1167.4951904098457 | ?: false
[Complex { re: 0.94, im: -1.01 }] iterations: 4 | acc: 1436.7160649292184 | ?: false
[Complex { re: 0.96, im: -1.01 }] iterations: 4 | acc: 1742.3476371489448 | ?: false
[Complex { re: 0.98, im: -1.01 }] iterations: 4 | acc: 2085.624470086003 | ?: false
[Complex { re: -1.0, im: -0.99 }] iterations: 5 | acc: 1063.5860378555974 | ?: false
[Complex { re: -0.98, im: -0.99 }] iterations: 5 | acc: 437.36289471122836 | ?: false
[Complex { re: -0.96, im: -0.99 }] iterations: 6 | acc: 7811174.979868125 | ?: false
[Complex { re: -0.94, im: -0.99 }] iterations: 5 | acc: 424.58010316988856 | ?: false
[Complex { re: -0.92, im: -0.99 }] iterations: 5 | acc: 620.9351589320315 | ?: false
[Complex { re: -0.9, im: -0.99 }] iterations: 5 | acc: 692.8309247287953 | ?: false
[Complex { re: -0.88, im: -0.99 }] iterations: 5 | acc: 668.1724141222743 | ?: false
[Complex { re: -0.86, im: -0.99 }] iterations: 5 | acc: 577.4837398620087 | ?: false
[Complex { re: -0.84, im: -0.99 }] iterations: 5 | acc: 449.8804459134932 | ?: false
[Complex { re: -0.8200000000000001, im: -0.99 }] iterations: 5 | acc: 310.28524693027845 | ?: false
[Complex { re: -0.8, im: -0.99 }] iterations: 5 | acc: 177.85207651888055 | ?: false
[Complex { re: -0.78, im: -0.99 }] iterations: 6 | acc: 294387.66757813515 | ?: false
[Complex { re: -0.76, im: -0.99 }] iterations: 6 | acc: 222032.3610274437 | ?: false
[Complex { re: -0.74, im: -0.99 }] iterations: 6 | acc: 103724.83257962023 | ?: false
